No,Text,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4,Question5,Answer5,,,
1493,"Wash the floor. Every 3 to 4 months, wash the floor with a foam mop. Mix a ?2 cup (120 mL) of ammonia with 1 gallon (3.8 L) of hot water. Dip the mop in the solution, and move it across the floor. Once you are done, you can let it air dry or you can wipe it up with an old towel. Do not use soap-based cleaners, such as laundry detergent, as these may leave residue behind on your floor. Stringy mops may leave streaks behind on your floor.",Why is a foam mop preferable over a string mop?,Stringy mops may leave streaks behind on your floor.,What's the best way to dry the floor after mopping?,you can let it air dry or you can wipe it up with an old towel.,What's wrong with using soaps?,these may leave residue behind on your floor,,,,,,,
1494,"Break off the langoustine's tail. Start by gripping the langoustine with 2 hands — one holding the head and the other holding the tail. Separate these two parts of the body by pulling in opposite directions. You may need to wiggle the tail a little bit to pull it loose. Set the head aside. If you like, you can use the head and any other uneaten parts of the langoustine to make soup at a later time.",How do I separate the head from the tail?,by pulling in opposite directions,What should I do with the head once it's off?," If you like, you can use the head and any other uneaten parts of the langoustine to make soup at a later time.",Are there any tricks which make it easier to pull out the tail?,You may need to wiggle the tail a little bit to pull it loose,,,,,,,
1495,"Ripen your kiwis at home. Ripen your kiwis at home by placing them in a paper bag with another fruit, such as a banana. The kiwis also need to be at room temperature to become ripe. Wait three to five days before checking to see if the kiwis are ripe.",How long do I have to wait for the kiwis to be ripe?,Wait three to five days before checking to see if the kiwis are ripe.,Why does the paper bag let the kiwis ripen?,[No Answer],What temperature should the kiwis be so that they ripen?,room temperature,,,,,,,
1496,"Lay down drop cloths to protect your floors. As with any painting job, painting your countertops carries the risk of accidentally dripping or spilling paint on the floor, so laying down drop cloths is very important. Be sure to tape down the drop cloths with painter’s tape to avoid displacing them when you walk on them. If you have any old bedsheets that you don’t want anymore, consider repurposing them as convenient (and free) drop cloths!",How do I prevent the cloths from slipping away?,tape down the drop cloths with painter’s tape to avoid displacing them,What are some good options for what to use as drop cloths?,"If you have any old bedsheets that you don’t want anymore, consider repurposing them as convenient (and free) drop cloths!",Is it possible to use newspapers instead?,[No Answer],,,,,,,
1497,"Get invitations (that match the theme!). Once you have them picked out, it's time to finalize the details. Check your schedule to make sure there are no girl scouts or work meetings during the time you're thinking. On the invitation, put the start and end times, address, what each child should bring (swimsuit, etc.) and if there will be a meal so parents can plan accordingly. As for guests, a good rule of thumb is the child's age plus 1. And if parents can come along, great! It's best to have a couple others to help with monitoring and clean up. Have your invitations in the theme of your party. The other children will probably get excited, too. Your child can hand them out at school (if possible to do it discreetly) or you can give them to the parents if your child is too young (or forgetful!). Your child shouldn't hand them out in front of those not invited -- it might make the others feel bad. Give them to the teacher to put in the take home folder or have your child put them in desks or lockers.",What should I include on the invitation?," put the start and end times, address, what each child should bring (swimsuit, etc.) and if there will be a meal so parents can plan accordingly.",What age range is best for a kid's party?,a good rule of thumb is the child's age plus 1.,Where can I find invitations that match the theme of my party?,[No Answer],,,,,,,
1498,"Buy fresh celery. You can find celery at most grocery stores and farmers markets, and you may also encounter it in some gardens. For the freshest celery, consider buying a locally-grown product. You can find pre-packaged celery, but it may have been shipped from who-knows-where, stored for who-knows-how-long, and sprayed with who-knows-how-many pesticides. Buy a whole stalk of celery. Make sure that the stalk is light green, firm, and unblemished. If the stalk is whitish, soft, or cracked it may be going bad; if the leaves are wilted, choose a fresher stalk. If you're looking for a quick and convenient snack, consider buying a package of pre-cut celery sticks. Again, pre-packaged sticks may not be as fresh as whole-stalk, locally-grown celery, but they take less work to prepare if you're in a hurry.",How can you tell if the celery is going bad?,"If the stalk is whitish, soft, or cracked it may be going bad",Should I try to get a different celery if the leaves are wilted? ,"if the leaves are wilted, choose a fresher stalk.",Is there a significant flavor difference between pre-cut celery sticks and fresh celery?,[No Answer],,,,,,,
1499,"Recreate the original winding pattern for each set of coils. The exact configuration you use will depend on the specific type of motor you’re repairing. To ensure optimal performance, take great care to make each coil tight, precise, and compact, without any unnecessary crimping or spacing. Leave the end of your first winding free and make sure it’s long enough to reach one of the metal tabs circling the brush pads. Unless you’re familiar with the necessary winding pattern, it’s recommended that you leave the job to a professional. Your motor may not work correctly if you make a mistake.",Where can I find the right winding pattern for the engine I'm working on?,[No Answer],Is it OK to handle the winding mysef?,"Unless you’re familiar with the necessary winding pattern, it’s recommended that you leave the job to a professional.",Is the winding pattern unique for each set of coils?,[No Answer],,,,,,,
1500,"Slice your pizza into 4 pieces. Gently hold the side of the crust and cut a straight vertical line down your pizza. Afterwards, cut a horizontal line through the first cut to make 4 even slices. You add another 1 or 2 diagonal cuts if you want smaller pieces, but 4 pieces is the ideal amount for this size of pizza. If there are various people eating with you, ask for several helpers to keep tending the pizza cooking so that you can share the duties and enjoy eating when your own pizza is ready.",What if I want more than 4 pieces?,You add another 1 or 2 diagonal cuts if you want smaller pieces,Where do I cut after the first slice?,cut a horizontal line through the first cut to make 4 even slices.,What is the best tool to use for making the cuts?,[No Answer],,,,,,,
1501,"Rinse the chain well with clean water and dry it off. Dry as much off with a clean towel or rag as you can. Hang the chain up to air-dry completely before you lubricate it. Depending on the heat and humidity where you live, air drying could take up to several hours. To dry your chain quicker, you can use compressed air to blast any remaining water off.",How can I accelerate the drying process?,"To dry your chain quicker, you can use compressed air to blast any remaining water off.",Is it ok to start adding the lubricant before the chain has completely dried?,Hang the chain up to air-dry completely before you lubricate it,Can I just run the chain through my dishwasher?,[No Answer],,,,,,,
1502,"Open the freshwater tank drain underneath the RV. Walk around the outside of the RV, looking for any exterior panels you can flip open. One of them, usually near the middle of the RV, will have a valve labeled “city water connection.” Look on the opposite side of the RV from it to find a labeled freshwater inlet valve. Look below the RV for a single drainage valve hanging down. Turn it counterclockwise until fresh water begins flowing from it. Some RVs also have low drain point valves nearby. They will be close to the freshwater tank on the side or back end of the RV and labeled. Open them as well to help drain the lines. The valve can be in other spots, including inside the RV. It depends on the model you have. However, the freshwater always drains out from the bottom of the RV.","Where is the freshwater tank drain in relation to the ""city water connection"" valve?",on the opposite side of the RV,In which direction do I turn the valve?,Turn it counterclockwise,Where could I find the exact location of the valve for my model of RV?,[No Answer],,,,,,,
1503,Fold the towel along its length. Grasp the corners of the short end of the towel and fold them together. This will create one crease down the length of the towel. The corners at the top and bottom of the towel will meet. This can be done while standing or lying the towel down on a flat surface.,What do I do with the corners at the short end of the towel?,Grasp the corners of the short end of the towel and fold them together,Is it easier to fold the towel if I stand up?,[No Answer],Are there alternative ways of neatly folding a towel?,[No Answer],,,,,,,
1504,"Restore its lustre. At the beginning of the outdoor season, when the weather starts to warm up again, and also at the end of the summer season, apply a coat of teak oil to your teak furniture. This will produce a lustrous shine.",What's the purpose of reapplying teak oil?,This will produce a lustrous shine.,When should I apply the teak oil?,"At the beginning of the outdoor season, when the weather starts to warm up again, and also at the end of the summer season",Can it be beneficial to add two coats if the furniture is looking worn?,[No Answer],,,,,,,
1505,"Pick the right time of year to plant your flowers. The National Gardening Association recommends planting geraniums in spring, after the last hard frost. Depending on the type of geranium, the plant may bloom in midsummer, late summer, or fall, though sometimes the flowers have a mind of their own and they’ll burst into bloom in spring. Regardless, be prepared for their beauty to pop up anytime but winter.",When is the best time to plant Geraniums?," in spring, after the last hard frost.","If I plant my Geraniums in the spring, when can I expect them to bloom?","the plant may bloom in midsummer, late summer, or fall, though sometimes the flowers have a mind of their own and they’ll burst into bloom in spring",Is there any way to ensure that my Geraniums bloom at a specific time of year?,[No Answer],,,,,,,
1506,"Choose USDA Prime grade beef for the most tender and flavorful cut. In the United States, there are 3 United States Department of Agriculture (USDA) grades of beef available to consumers: Prime, Choice, and Select. Beef is inspected and labeled accordingly depending on the amount of marbling in each cut. Only about 3 percent of beef is labeled as ""prime,"" but it's known for its flavor and tenderness. Find Prime beef at gourmet supermarkets, high-end butcher shops, and some membership warehouse stores.",What are the three grades of beef again?,"Prime, Choice, and Select.",What's the main criteria used to discern between the grades of beef?,Beef is inspected and labeled accordingly depending on the amount of marbling in each cut.,Where can I get some prime beef?,"Find Prime beef at gourmet supermarkets, high-end butcher shops, and some membership warehouse stores.",,,,,,,
1507,"Replace the filters on your air conditioning units on a regular basis. Clogged air filters will gradually make your air conditioner less efficient over time. This will translate to warmer, and therefore more humid, air in the long run. In general, replace the filter every 90 days to keep it running as smoothly as possible. If you have pets that shed hair, like cats or dogs, bump up this maintenance schedule and replace the filter every 60 days.",How often do I replace the filter if I have pets?,every 60 days.,Why is it important to replace air filters?,Clogged air filters will gradually make your air conditioner less efficient over time. ,What steps are involved in replacing the filter?,[No Answer],,,,,,,
1508,"Avoid sitting on potentially lice-infested furniture. Don't sit on couches or chairs where a person with lice has been until thoroughly cleaned. This includes beds, couches, armchairs, as well as linens and pillows. Keeping yourself away from the furniture and belongings of someone who has lice or has recently had lice is a good precaution to make sure you and the rest of your family stay lice-free.",When is it safe to use furniture again that was touched by someone with lice?,Don't sit on couches or chairs where a person with lice has been until thoroughly cleaned.,What are some common household items through which lice is transmitted?,"beds, couches, armchairs, as well as linens and pillows",What other precautions should I take to keep from getting lice?,[No Answer],,,,,,,
1509,"Remove the bacon from the skillet or pan and drain the fat. Once the bacon has cooked to your liking, transfer each piece to a paper towel-covered plate. Allow the paper towel to soak up any excess fat before serving the bacon. You can also drain the bacon on sheets of newspaper, cut up paper bags, or a wire baking rack places over a cookie sheet.","If I don't have any paper towels, what can I use to drain the excess fat from the bacon?","sheets of newspaper, cut up paper bags, or a wire baking rack places over a cookie sheet.",How long does it take for the paper towel to soak up the excess fat?,[No Answer],Should I move the bacon to a separate dish for serving?,[No Answer],,,,,,,
1510,"Measure the square footage of the room. If it’s a simple rectangular room, this is easy. Measure the long wall and the wall adjacent to it. Multiply the two measurements to get the square footage.  For a more complicated area, draw a rough diagram. Divide the area into squares and rectangles. Measure the sides of these and multiply to determine the size of each. Add each section to get the total.",How do I get the area of a rectangular room?,Measure the long wall and the wall adjacent to it. Multiply the two measurements to get the square footage.,What should I do if there are circular elements in the room I am measuring?,[No Answer],"Once I've created the rough diagram for a non-rectangular room, how do I find the area?",Divide the area into squares and rectangles. Measure the sides of these and multiply to determine the size of each. Add each section to get the total.,,,,,,,
1511,Soak the coat. Place the coat into the soapy water in the drum of the washing machine. Press it down into the water so the fibers become saturated and the coat sinks. Leave the lid open and let the coat soak in the soapy water for 30 minutes. Soaking will help prevent shrinkage and loosen dirt.,What's the point of soaking the coat?,Soaking will help prevent shrinkage and loosen dirt.,How long should the coat soak for?,30 minutes,Can I just fill a container with soapy water if I don’t have a washing machine?,[No Answer],,,,,,,
1512,"Strain the liquid from the cabbage into a spacious container. Place a colander or wire strainer over the opening of the container and pour the contents of the saucepan out into it to separate the cabbage leaves from the now purple water. Allow the water to cool for another 10 minutes or so, or until it’s just slightly warm to the touch. Grab a potholder or kitchen towel when you go to transfer the water to your testing container. Both it and the saucepan will be extremely hot.Tip: It’s best to use a transparent container, if possible, since you’ll be assessing your soil sample visually.",What should I use to separate the cabbage from the water?,a colander or wire strainer,What sort of container should I use for the testing container?,"It’s best to use a transparent container, if possible, since you’ll be assessing your soil sample visually.",Why does the water turn purple?,[No Answer],,,,,,,
1513,"Make a rub for roast turkey. Turkey pairs well with less aggressive flavors. Combine 2 tbsp. (30 ml) dried thyme, 2 tbsp. (30 ml) granulated garlic, 2 tbsp. (30 ml) poultry seasoning and 1/4 tsp. (1 ml) ground pepper. Rub over the turkey and roast the turkey at 350 degrees F (180 degrees C) for approximately 20 to 25 minutes for each 1 lb. (450 g) of turkey or just until the internal temperature of the thickest part of the turkey has reached 165 degrees F (74 degrees C).",What temperature will the turkey be when cooking is complete?,165 degrees F (74 degrees C),How much garlic am I supposed to add?,2 tbsp. (30 ml) granulated garlic,What should I add to make the turkey spicier?,[No Answer],,,,,,,
1514,Boil and serve. Add the bags to a large pot of boiling water. Make sure the plastic is completely submerged and not touching the hot metal on the sides. Boil for 13-15 minutes. Remove the bags and allow them to cool. Slide the cooked omelette onto a plate. Repeat as many times as necessary and enjoy!,What do I do with the bags?, Add the bags to a large pot of boiling water,What do I do after I take the bags out of the water?,allow them to cool.,How can I ensure that the bags stay submerged?,[No Answer],,,,,,,
1515,"Cook the potstickers in water for 4 minutes if they aren't done. Add about ?3 cup (79 mL) of water to the pan. Cover the pan again and let the dumplings continue to boil. Most of the water should evaporate by the time the potstickers are finished. If there is a little water left, you can uncover the pan and let the water evaporate. Frozen dumplings may need the extra cooking time. For fresh potstickers, you may need to use a little more water to get them to finish without burning.",What will signalize that the potstickers are finished?,Most of the water should evaporate,Does the procedure change at all if I'm using frozen dumplings?,Frozen dumplings may need the extra cooking time.,Is there anything I should add to the pan in addition to water?,[No Answer],,,,,,,
1516,"Locate the battery. Different automakers place the batteries in their cars in different locations for a number of reasons. Most car batteries can be located near the front or nose of the car on the left or right. It looks like a large, usually black box with two metal terminals sticking out of the top, each with cables attached. Make sure the hood struts can support the weight of the hood before you release it, otherwise it could fall and hurt you. If you cannot locate the battery under the hood of the car, it may be in the trunk. Some automakers place the battery in the trunk to improve weight distribution or save space. If you cannot locate your battery, refer to your owner’s manual. It will show you how to locate and access your battery.",How will I recognize the battery when I see it?,"It looks like a large, usually black box with two metal terminals sticking out of the top, each with cables attached",What resources should I consult if I'm unable to locate my car's battery?,refer to your owner’s manual.,Why would the battery be in the trunk and not the hood like usual?,Some automakers place the battery in the trunk to improve weight distribution or save space.,,,,,,,
1517,"Let the steaks sit in the fridge for at least 40 minutes or overnight. Depending on how much time you have, let the rub sit on the steak for at least 40 minutes or overnight. 40 minutes will allow the salt from the rub to soak into the meat, while letting it sit overnight will allow the steak to absorb more of the flavor and spice from your rub. Cover the steaks in foil or plastic if you will be leaving it in your fridge overnight.",What's the minimum time that the steaks have to sit?,40 minutes,Is there an added benefit associated with allowing the steaks to sit for a whole night?,letting it sit overnight will allow the steak to absorb more of the flavor and spice from your rub.,Why do I have to cover the steaks if I let them sit overnight?,[No Answer],,,,,,,
1518,"Wipe the steel surface in the direction of the grain. Look closely at the stainless steel. You'll notice that its particles form lines going in a certain direction. For example, your steel object will have lines going up and down or left and right. Move the cloth along those lines. When using soft cloths and soapy water, you aren't likely to scratch the surface if you make a mistake, but it's a good idea to always try to clean stainless steel along the grain.",How can I detect the grain of the steel?, You'll notice that its particles form lines going in a certain direction.,What will happen if I accidentally wipe the steel against the grain?,[No Answer],Are there any other precautions I should take to help prevent scratching the steel?,[No Answer],,,,,,,
1519,"Open a window if you want to keep your door closed. If you have air blowing into the room, opening a window will help draw it out, creating airflow. You can use this method with a closed door, as long as you have air blowing in from the A/C. You only need to open the window 1 to 2 inches (2.5 to 5.1 cm) in order to start drawing the hot air out of the room!",What's the benefit of opening a window?,"If you have air blowing into the room, opening a window will help draw it out, creating airflow.",How much do I need to open the window to create airflow?,You only need to open the window 1 to 2 inches (2.5 to 5.1 cm) in order to start drawing the hot air out of the room!,"If I don't have an A/C system, can I use a fan to help create airflow?",[No Answer],,,,,,,
1520,"Heat the syrup. Bring the syrup to a boil over medium-high to high heat, stirring from time to time. Once the syrup starts to boil, reduce it to a simmer over low heat. Cook the syrup for 1 minute. You may notice that it is starting to thicken.",How much longer do I need to cook it after the syrup starts to boil?,"Once the syrup starts to boil, reduce it to a simmer over low heat. Cook the syrup for 1 minute.",What temperature setting do I use for the syrup?, medium-high to high heat,What's an indicator that the syrup is almost done?,it is starting to thicken.,,,,,,,
1521,"Crisp up pizza slices in a skillet. Turning on the oven for a slice of pizza is a waste of energy, and you can actually get a crispier crust by pan frying. Heat a dry cast iron pan or skillet over medium heat. Add the pizza and place a lid over the pan. Heat the pizza for three to four minutes, until it’s hot and the cheese is gooey.",Why should I avoid using an oven to heat the pizza slice?,"Turning on the oven for a slice of pizza is a waste of energy, and you can actually get a crispier crust by pan frying.",How long should I expect the pizza to take?,"Heat the pizza for three to four minutes, until it’s hot and the cheese is gooey.",What should I do if I prefer a crust that's not very crispy?,[No Answer],,,,,,,
1522,"Thin the seedlings. If a lot of the seeds germinate and sprout, it's necessary to thin out some of the weaker seedlings so the strong ones can get even stronger. Thin them out to the point where you have 2 or 3 sprouts per seed container, or 2 or 3 sprouts for each area the size of one egg carton segment. Pick the extra sprouts out close to the base, pull out the roots and discard them.",What is the purpose of thinning seedlings?, it's necessary to thin out some of the weaker seedlings so the strong ones can get even stronger. ,How many seedlings do I want to remain after I've finished thinning?,"Thin them out to the point where you have 2 or 3 sprouts per seed container, or 2 or 3 sprouts for each area the size of one egg carton segment.",What should I do with the seedlings I trimmed?,"Pick the extra sprouts out close to the base, pull out the roots and discard them.",,,,,,,
1523,Fill your slow cooker with a 1/2 inch (1.27 cm) of water. Use 6 to 7-quart (5.67 to 6.62 liter) slow cooker and fill the bottom of it with water. The level of the water should only come up a half an inch off the bottom of your slow cooker.,What volume should my slow cooker be?,6 to 7-quart (5.67 to 6.62 liter),How much water do I need to put in the slow cooker?,1/2 inch (1.27 cm) of water,"If I only have a smaller slow-cooker, is that alright?",[No Answer],,,,,,,
1524,"Repeat the process sparingly and only when the pH level is balanced. The soap solution, along with an algae-cleaning session, should take care of the problem. You should try to leave your water as natural as possible, but you can repeat the soap process if necessary. If the bugs are especially stubborn and start to come back, check that your pool’s pH level is back to normal. The ideal pH of a swimming pool is 7.4. If the levels look good, indicating that the last round of soap has gone through the pool’s system, then repeat the process. Keep in mind that if you use the dish soap repeatedly, such as every day, it could build up and leave a residue.",What's the best pH level for a pool?,7.4,Are there any problems that arise from using the soap solution frequently?,"Keep in mind that if you use the dish soap repeatedly, such as every day, it could build up and leave a residue.",Should the algae-cleaning session occur before or after using the soap solution?,[No Answer],,,,,,,
1525,"Make a simmer pot. There’s nothing that can fill your home with the scent of fall quite as well as a well-crafted simmer pot. Use aromatic herbs, spices, and fruit to create exactly the aroma - and atmosphere - you’re hoping for. For instance, mix 1 quart of water, 4 bay leaves, 1 thinly-sliced orange, a sprig of fresh rosemary, and a vanilla bean in a saucepan. Heat the concoction on medium high until it begins to simmer, and lower the heat so that it’s just hot enough to keep simmering. If you want the simmer pot to last more than 15-20 minutes, you’ll likely have to add a bit of water periodically. Use 1 or two teaspoons instead of a vanilla bean, if necessary. If you do use a vanilla bean, you can dry it out and reuse it a few times. If you want to keep a simmer pot going for more than an hour or two, use a crock pot. After achieving a simmer with a higher heat, reduce the crock pot’s heat to low. Other great ingredients to include in a fall-themed simmer pot are sliced apples, cinnamon sticks, dry star anise, fresh or dry ginger, cardamom pods, coves, and/or dried orange peel.",How can I extend the duration that the simmer pot works for?,you’ll likely have to add a bit of water periodically,How long after cooling down will the scent of the simmer pot remain in my house?,[No Answer],"After it's started to simmer, what heat setting should I keep the simmer pot on?", lower the heat so that it’s just hot enough to keep simmering.,,,,,,,
1526,"Drizzle with butter sauce, if desired. If you prepared a butter sauce, brush it evenly over the exposed meat of the tail using a pastry brush. Rub the butter sauce over all sides of the meat, including the bottom. Lather a large amount on the top, however, so that the top of the meat browns better in the broiler.",How should I apply the butter sauce?,brush it evenly over the exposed meat of the tail using a pastry brush.,Why do I have to put more butter sauce on the top?,so that the top of the meat browns better in the broiler.,Are there any healthy alternatives to butter sauce?,[No Answer],,,,,,,
1527,"Fill your garden bed to the top or nearly the top. How high you fill the bed depends on personal preference and the plants you’ll be growing. If your plants will grow straight up, like tomatoes, keep the soil mixture flush with the top of the bed. If you’re mainly growing flowers, leave some space between the top of the soil and the top of the bed. This way the bloom of the flower will be more prominently displayed.",How much should I fill the bed if I'm growing flowers?,leave some space between the top of the soil and the top of the bed,How much fill is ideal if I'm growing a mixture of vegetables and flowers?,[No Answer],What should I use to transport soil to my garden beds?,[No Answer],,,,,,,
1528,"Brew your coffee or espresso. Since it's going to be blended with so many tasty ingredients, make sure it's very strong. Otherwise, the coffee flavor will be masked. The coffee or espresso should taste too strong to drink on its own.",How strong should I make it?,The coffee or espresso should taste too strong to drink on its own.,How can I increase the strength of the coffee I brew?,[No Answer],What sort of ingredients will I be adding to the coffee?,[No Answer],,,,,,,
1529,"Hang vodka bags. Flies avoid the smell of vodka. So, try hanging bags of vodka around your porch or any other recreational outdoor area. Quarter gallon freezer bags, tied with string to a gutter, work well. Any cheap vodka will work. You can also try putting small amounts of vodka on your skin, although beware of the pungent smell and your skin drying.",Why do flies dislike the smell of vodka?,[No Answer],Where do I hang the vodka bags?,around your porch or any other recreational outdoor area.,Wouldn't the bag contain the smell of the vodka?,[No Answer],,,,,,,
1530,"Put your digital multimeter on the direct current voltage setting. Rotate the selector switch, which is the large knob in the center of the multimeter, to the symbol which looks like a capital “V” with a straight line over it. This is the direct current (DC) voltage setting of your multimeter. Do not use an analog multimeter to test polarity. Connecting the wrong leads to the wrong wires can damage an analog multimeter.",What setting should I put the multimeter on?,Put your digital multimeter on the direct current voltage setting,Why should I avoid using an analog multimeter?,Connecting the wrong leads to the wrong wires can damage an analog multimeter.,Which one is the selector switch?,the large knob in the center of the multimeter,,,,,,,
1531,"Remove and serve the roasted water chestnuts. Once the chestnuts are hot and golden around the edges, take the pan out of the oven. Serve the roasted chestnuts as a side dish for roasted meats or as a garnish for soups. Store the leftover roasted water chestnuts in an airtight container in the refrigerator for 2 to 3 days.",Which dishes do water chestnuts make a good garnish for?,Serve the roasted chestnuts as a side dish for roasted meats or as a garnish for soups,How long are the leftover chestnuts good for?,Store the leftover roasted water chestnuts in an airtight container in the refrigerator for 2 to 3 days.,Do roasted chest nuts blend well with roasted almonds?,[No Answer],,,,,,,
1532,"Turn your smoker on and get it steady at 250° F (121° C). While the smoker is heating up, score the ham with a sharp chef's knife to give it a diamond pattern. While this isn't necessary on all hams, it gives the ham a nice look when finished.",Why should I take the time to score the ham?,"While this isn't necessary on all hams, it gives the ham a nice look when finished.",Is a smoker the preferred kitchen appliance for cooking ham?,[No Answer],Can I still score the ham after it's finished cooking?,[No Answer],,,,,,,
1533,"Follow the recipe's instructions properly. Folding usually occurs after you have already mixed the mixtures separately in their own containers. While this means more work and dishes, it also means a better end result, so it's worth doing what the recipe asks!",Will I get worse results if I am not able to prepare each mixture in its own container?,[No Answer],When should I fold all the mixtures together?,Folding usually occurs after you have already mixed the mixtures separately in their own containers.,Why wouldn't I just put everything in a single container to begin with?,"While this means more work and dishes, it also means a better end result, so it's worth doing what the recipe asks!",,,,,,,
1534,"Follow all product instructions. When spraying your house for fleas, the flea spray product will have a set of instructions on its label. This label is typically on the side of the product spray bottle. Read this label for information about how to protect pet birds when spraying your house for fleas. For instance, your flea spray bottle might read, “Before spraying, vacuum your entire house.” In this case, you should vacuum your entire home before using the flea spray. If the directions say, “Apply a light, even layer of flea spray to your carpet,” apply a light, even layer of flea spray to the carpet and avoid applying a heavy layer of flea spray.",Where should I look for specific instructions about the flea spray I purchased?,the flea spray product will have a set of instructions on its label,"If I am unable to follow the instructions on the spray, will it not work as intended?",[No Answer],Is flea spray dangerous for small children?,[No Answer],,,,,,,
1535,"Negotiate aggressively. Many people know they can negotiate on the sale price of a new car but think they have to pay the advertised price for a lease. Look for special offers from dealers and lease at a time of year when they want to reduce their inventory, such as when new models are arriving in September. Note that you can also lease used cars, especially those coming off their first lease term.",What's the best time of year to lease a car?,"lease at a time of year when they want to reduce their inventory, such as when new models are arriving in September.",What if it seems too expensive to lease a new car?,"Note that you can also lease used cars, especially those coming off their first lease term",How much is it appropriate to negotiate the price for a leased car?,Negotiate aggressively.,,,,,,,
1536,"Sand and clean the glue when it’s dry. If you haven’t used an activator, wait for the glue to dry completely. Use your 220 grit sandpaper to smooth over the glued surface. Then wipe down the area with a damp cloth, and dry it with a microfiber towel.",What should I use to dry the area?,a microfiber towel.,"If I used an activator, do I still need to wait for the glue to dry all the way?",[No Answer],Is it OK to use coarser sandpaper instead?,[No Answer],,,,,,,
1537,"Complete the transfer portion of the Title. It is important that you accurately complete all the seller’s information as it is typed on the Certificate of Title. If you do not complete the transfer information accurately, then the sale may not be valid. If the original title listed more than one name as owner, you need to pay close attention to the way they are listed. If the original owners were listed as A “and” B, then both people must sign the transfer. If the original owners were listed as A “or” B, then either one may sign the transfer for it to be valid.","If there are multiple people listed and there's an ""or"" between their names, then who has to sign to make it valid?","If the original owners were listed as A “or” B, then either one may sign the transfer for it to be valid.",What happens if I make a mistake with the transfer information?,then the sale may not be valid,Do all owners have to sign at the same time?,[No Answer],,,,,,,
1538,"Pour the flavored gelatin into your prepared pans or molds. Each color should go in a separate mold. Place the pans in the refrigerator to chill overnight. To make multi-layered gumdrops, with a different color and flavor in each layer, chill one layer at a time. When the first layer is set, after a few hours, pour a second layer on top and return it to the refrigerator. Don't attempt to cut the gumdrops until they are completely chilled and set.",How long do I wait between each layer?,a few hours,When should I cut the gumdrops?,Don't attempt to cut the gumdrops until they are completely chilled and set.,Is it alright if I choose to freeze the gumdrops?,[No Answer],,,,,,,
1539,"Soak the rice, pigeon peas, chickpeas and lentils separately in water. Use one large bowl for the rice and another large bowl for the pigeon peas, chickpeas, and lentils, which may be soaked together. Let all ingredients soak for at least 3 hours. It is especially important to soak the lentils, pigeon peas, and chickpeas until they are soft. You may need to soak them for as long as 4-5 hours. Parboiled rice is rice that has been partially boiled in the husk, then left to cool. You can buy it in most grocery stores that stock Indian ingredients. Once both ingredients are finished soaking, drain the water and combine the rice with the lentils.",Are there any indicators which will let me know when the ingredients are finished soaking?,"It is especially important to soak the lentils, pigeon peas, and chickpeas until they are soft.",Where can I get parboiled rice?,You can buy it in most grocery stores that stock Indian ingredients.,Can I use normal rice instead of parboiled rice?,[No Answer],,,,,,,
1540,"Tidy up the seam. Clean off any adhesive with a damp rag while the adhesive is still wet. You should also pass over the seam with a rolling pin or seam roller to fix it in place more securely. When the adhesive dries, use a carpet brush and brush the fibers along the seam. Doing so will help mask the seam. This completes the process if you are using seam adhesive.",How do I get rid of the adhesive?,Clean off any adhesive with a damp rag while the adhesive is still wet.,Can I use a hair brush instead of a carpet brush?,[No Answer],Why is it important to mask the seam?,[No Answer],,,,,,,
1541,"Move inland and to high ground. The first thing you should try to do, if possible, is to move away from the coast, lagoons or other bodies of water, towards higher ground and even into hills or mountains. Move until you are either 2 miles (3.2 km) inland or 100 feet (30 m) above sea level. Expect roads to be totally wiped out by a tsunami. If you're planning on using roads to get where you need to go, think again. In a full-blown tsunami, many roads will be wiped out, either by the seismic activity of the earthquake or by the tsunami itself. Have a good sense of the general direction you want to be heading in, and consider keeping a compass in your survival pack.",How far away do I need to get before I'm safe?,Move until you are either 2 miles (3.2 km) inland or 100 feet (30 m) above sea level.,Why is it unsafe to travel along roads?,"In a full-blown tsunami, many roads will be wiped out, either by the seismic activity of the earthquake or by the tsunami itself.",How will I know when a Tsunami is coming?,[No Answer],,,,,,,
1542,"Combine peach schnapps, peach brandy, and triple sec in your glass. Add 2 shots of peach schnapps, 3 shots of peach brandy, and 1.5 shots of triple sec to your glass. Stir them together with a metal spoon or stirrer. A classic fuzzy navel doesn’t have any peach brandy in it, which is why this drink is “extra fuzzy.”",What's the difference between peach schnapps and peach brandy?,[No Answer],What do I use to stir it all together?, a metal spoon or stirrer,What's the difference between this drink and a standard fuzzy navel?,"A classic fuzzy navel doesn’t have any peach brandy in it, which is why this drink is “extra fuzzy.”",,,,,,,
1543,"Use the switch or trigger on the electric knife to start it. Set the serrated edge of the knife blade against the meat where you want to make your cut. Hold the meat in place with your nondominant hand so your fingers are away from the blade. When you’re ready to start cutting, pull the trigger or press the button on the handle to start the blade. Keep your fingers away from the blade while the electric knife is running since it will easily cut you.Tip: Some electric knives have a safety button you also need to hold down with another finger in order to run it.",What should I do if I pressed the button and my knife still isn't running?,Some electric knives have a safety button you also need to hold down with another finger in order to run it.,Will it still be possible to cut the meat if my knife doesn't have a serrated edge?,[No Answer],Will it take longer to cut if I use a knife that isn't electric?,[No Answer],,,,,,,
